S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,gene
1149.1597,1295.4835,1080.278,2222.3307,1434.4262,922.0453,1364.9354,564.9494,1183.3709,1099.2344,2858.8661,1525.9976,1493.537,1839.3839,1391.4036,1333.7203,2241.1434,868.5429,2819.2405,1585.4448,ABCA2
543.0672,2014.631,474.4788,1433.5938,610.0703,1025.0269,1212.9706,1343.461,749.9194,976.4429,975.0129,1489.3188,683.3137,1281.0781,945.9871,1545.5601,688.9229,1497.6844,774.6835,2466.3185,ABCA3
341.9118,5.0891,33.0697,,36.2998,15.8065,3386.6447,5.284,64.4538,5.0059,504.222,22.9746,54.0541,13.2013,60.4793,30.7603,108.6269,2.85,51.6456,4.1521,ABCA4
558.2878,550.2481,591.9003,383.4635,886.4169,229.9126,399.2855,120.2114,504.9952,715.5477,629.6743,287.7751,658.5517,462.0462,688.4747,463.7261,551.3017,327.0395,833.9241,310.4457,ABCA5
149.6849,143.4478,138.9887,40.6901,303.2787,147.0483,6.87,26.4201,218.176,54.4759,29.2952,3.2245,367.215,150.7151,342.7159,2.3215,72.2818,6.4125,126.5823,439.4787,ABCA6
160.7143,187.659,101.1263,172.526,286.2998,372.65,242.0995,115.808,245.2465,90.106,191.2804,119.3067,184.4888,128.7129,268.9235,110.2728,227.8714,87.2818,170.1266,304.3773,ABCA7
549.3697,75.3817,794.6322,128.2552,1775.1756,186.325,20.0605,23.7781,744.1186,131.0365,178.873,140.6691,1806.1105,698.5699,1758.0829,35.4034,508.4227,42.394,628.3544,83.6798,ABCA8
63.5504,41.6667,78.6005,46.224,250.5855,129.3258,5.496,22.8974,95.7138,24.735,25.504,4.4337,187.4266,85.8086,227.4629,12.188,37.5702,8.5501,149.3671,63.2389,ABCA9
513.6555,541.6667,517.6132,487.3047,377.6347,405.2209,297.884,364.5971,340.6381,572.4382,471.4803,493.3495,471.7979,477.4477,389.5017,339.5241,434.099,440.684,390.8861,412.0112,ABCB10
2681.1975,504.1349,2853.1033,1041.0156,1617.6815,221.2909,2566.914,280.9335,3008.7013,3056.5371,2988.4542,625.9573,3947.4148,1568.2068,2667.1738,80.0929,3160.7963,432.8465,2445.5696,2066.1246,ABCB1
