Gene	TCGA.A7.A0CE.01	TCGA.A7.A0CH.01	TCGA.A7.A0D9.01	TCGA.A7.A0DB.01	TCGA.A7.A0DC.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.AC.A23H.01	TCGA.AC.A2FB.01	TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A0DC.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11
ARHGEF10L	9.5751	9.3815	10.9025	9.4012	10.4153	10.757	8.5945	10.322	8.8195	9.9276	9.998	10.0819	9.5692	9.953	10.0876	9.6265	10.3847	8.599	9.5065	9.909
HIF3A	4.1385	1.2069	2.8431	3.9239	2.1237	3.0461	1.3821	1.5278	0.3758	4.6244	6.1594	8.5517	9.3537	8.4743	8.4513	8.1546	8.2842	10.0837	8.6655	8.1872
RNF17	1.4303	0	0	0	0	0	0	0	0	0	4.1813	0	0	0	0	0	0	0	0	0
RNF10	11.4626	11.9762	11.7959	11.9896	12.218	11.1565	12.1455	12.2527	11.763	11.8653	11.7961	11.9788	11.9178	11.8456	11.7447	11.9869	11.7907	11.8645	11.6472	11.8263
RNF11	10.5215	11.5613	11.164	11.4222	10.7349	10.7619	11.286	11.374	11.4354	11.3595	11.2214	11.5315	11.9225	11.5743	11.8232	11.9344	11.5187	12.2617	11.6499	11.5754
RNF13	10.0002	10.2772	10.5207	10.7523	10.2759	10.3025	10.5567	10.4524	10.475	11.0138	10.3894	10.5527	10.8396	11.0165	10.6691	10.9178	10.6503	11.2799	11.2439	11.0725
GTF2IP1	13.3826	13.0836	14.2764	12.7633	13.7537	12.9691	12.5112	13.2394	11.8105	12.6487	12.6967	12.3518	12.6587	12.3628	13.0786	12.7623	12.4562	12.9658	12.412	12.6265
REM1	3.0213	2.1664	4.7293	3.5041	3.69	5.2856	3.6141	2.7906	3.6214	4.6432	6.0668	6.8308	6.2643	5.9136	5.4552	6.6016	6.1689	5.6615	5.3348	6.3661
MTVR2	1.2363	0	0	0	0	0	0	0.3438	0	0	0	0	0	0	0	0	0	0	0	0.9275
RTN4RL2	5.4388	4.6681	5.0847	6.0723	5.4408	7.6592	4.4518	6.3993	4.796	4.1584	4.7395	5.0431	3.8317	3.8989	4.3949	4.2884	4.2104	4.5211	4.8355	4.6296
C16orf13	8.5321	9.2378	8.3241	9.7901	9.9519	9.2157	9.0496	9.3231	8.142	8.5055	9.2027	9.1692	8.0005	7.8639	8.3207	8.1546	8.4415	8.2323	8.4813	8.4907
C16orf11	0	0.5222	0	0	3.3446	0	0	1.0539	0	0	0	0	0	0	2.8192	0	0	0	0	0
FGFR1OP2	8.8046	8.692	8.8169	8.4404	8.8725	9.0857	8.4968	8.7102	8.1113	9.0188	8.6757	8.8225	9.1043	9.287	9.0084	8.9926	9.1569	9.4878	9.3148	9.2266
TSKS	1.2363	0	0.4974	2.0234	0	3.188	0	0	0.3758	0	2.8139	2.0032	3.8317	5.4352	2.9981	1.5615	3.4434	3.9672	2.8954	3.1404
ATRX	11.0147	11.6018	10.9845	10.8282	11.0264	10.0038	11.0096	11.6617	10.5333	11.5017	10.5861	10.4081	11.3873	11.1137	11.3565	11.4722	11.2003	11.8978	11.4988	11.0473
PMM2	10.6043	9.7786	9.6193	10.428	10.5823	10.2922	9.5782	10.4538	10.0521	9.7162	9.4803	9.364	9.1955	9.0711	9.38	9.2981	9.2868	8.8013	9.1319	9.1484
LOC100272146	5.5474	5.4934	5.9621	4.7782	5.9123	5.2537	4.9966	5.3126	4.9975	4.6618	5.3122	5.3792	3.8317	4.9251	5.3102	4.7733	5.3404	5.1851	5.515	4.5941
ASS1	11.426	7.3814	11.355	11.1462	7.0239	10.636	11.5897	8.5203	12.4404	11.3356	11.0713	12.296	12.6875	12.7287	11.8191	11.8913	12.5054	13.5598	11.1803	11.6375
NCBP1	10.2452	10.3001	9.578	10.129	10.1373	10.3488	9.8434	10.2391	11.2475	9.9182	9.7414	9.2174	9.3028	9.7752	9.5283	9.6013	9.3564	9.9422	9.9617	9.4308
ZNF709	7.2239	7.2177	7.8214	7.2693	8.5821	7.9972	6.2113	6.4356	6.529	7.1565	6.9488	6.3684	5.5014	5.974	6.9381	6.5042	6.6729	6.132	7.7287	7.1802
ZNF708	7.9629	8.1698	7.7349	7.7724	7.4234	8.4907	6.5816	7.7109	8.0783	7.6301	7.6871	6.6042	6.9147	7.2531	7.69	7.4284	7.6465	7.4683	7.9742	7.8926
RBM14	10.23	9.9287	9.8602	10.1215	9.5784	10.023	9.7742	10.3337	10.3704	9.8256	10.0496	9.9981	9.3014	9.5247	9.2882	9.6699	9.7612	9.5365	9.822	9.7114
NCBP2	10.4461	11.0317	10.938	11.4461	11.5979	10.5299	11.1293	10.7513	10.9066	10.7357	10.8851	10.3981	10.6682	10.4931	10.8325	10.5945	10.5134	10.5046	10.7324	10.6552
DISC1	7.1345	6.6502	6.3481	6.4274	5.0468	8.0447	6.5008	6.1336	6.3616	7.8283	7.4431	7.0473	7.5259	7.8671	7.274	7.9161	8.0229	7.6516	7.7671	7.5601
CAMK1	6.51	7.5314	7.3366	8.5185	6.8134	6.5288	7.6253	7.6766	6.0732	7.3554	8.3422	9.812	10.4063	9.916	9.4026	9.456	9.4129	10.5672	8.3831	8.9372
RPL37	13.576	12.9164	12.1931	13.9367	13.3022	13.9287	12.453	13.0121	12.3204	13.4576	14.0697	13.6715	13.0071	13.045	12.7898	13.1052	13.639	13.3219	14.157	13.7678
SPR	9.3841	9.3567	10.1849	9.3309	9.8173	8.7785	11.4802	10.7132	11.0514	10.0762	9.5681	9.9625	9.5653	9.676	9.6006	9.2787	9.4244	9.169	8.9126	9.3232
ZNF700	8.4407	8.8353	8.2577	8.4966	9.4663	10.2259	8.1946	8.9884	8.3654	8.192	8.7144	8.1451	7.5179	7.7683	8.278	7.9102	8.0743	7.9414	8.3339	8.131
ZNF707	7.8143	7.552	9.6178	7.4945	9.2671	8.4821	7.427	7.3744	8.0067	7.0405	8.0138	7.4555	6.7942	7.066	7.5678	6.287	6.6537	5.9061	5.8818	7.15
CAMK4	8.0485	3.1457	4.538	3.4032	2.6994	1.8328	2.2062	2.8456	2.6681	6.2702	2.8139	2.0032	2.9296	0.5998	2.9981	1.7822	2.5703	2.0886	2.5872	3.4492
ZNF704	6.7292	8.0958	7.9495	8.0951	9.5345	4.2101	5.9552	7.8024	9.9357	8.2938	7.8646	7.7708	9.7993	9.3281	9.3853	9.3783	9.3066	9.5209	9.4165	8.6341
LOC339240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7355	0	0	0	0	0
GOLGA6B	0.7467	1.2069	1.6128	2.1534	1.7834	2.6146	1.3821	2.4073	0.3758	1.97	0.3978	1.5264	2.4809	0	0.9501	0.9824	0.9246	1.7824	1.8093	1.1393
RNF115	9.1766	9.9368	8.9974	9.1284	8.8921	8.8577	9.4956	10.3721	9.4554	9.3152	8.8053	8.5502	8.7943	8.7268	9.1345	8.718	8.8869	9.0356	9.0229	8.9319
RNF112	3.9296	3.0728	2.7578	2.67	2.5569	3.5454	1.3821	2.0802	1.1311	2.0847	4.0213	4.4879	4.908	5.8634	3.2308	4.0542	5.1159	4.5958	4.0344	4.181
ZC3H14	10.6971	10.5486	11.2213	10.6317	11.0872	9.5945	10.1099	10.7007	10.3268	10.2765	10.344	10.0454	10.4066	10.0509	10.2571	10.2685	10.3774	10.555	10.6368	10.2902
SPN	5.2843	6.5122	5.7903	7.827	2.6299	5.4212	6.6175	7.155	6.33	9.7286	7.11	7.9765	7.2452	7.5475	6.3508	6.9762	7.0844	6.4993	7.5584	7.808
HMGCLL1	5.3214	2.3002	2.1022	2.2726	6.4745	7.381	6.5008	0.6211	1.1311	5.0199	6.6445	4.6262	5.2153	3.6253	5.0511	4.92	5.0971	4.9585	6.2506	5.7447
NACAP1	6.6583	6.8434	6.3003	7.0821	7.3442	5.9458	6.5756	6.3993	6.7762	6.6232	7.1166	6.4326	6.677	6.3008	6.3174	6.0841	7.016	7.5426	7.8365	6.8412
LRRTM1	0.7467	0.9048	0	0	0.3844	0	0.4871	0	0	0	1.3714	0.4606	1.0131	0.5998	1.9244	0.9824	1.2309	1.1506	2.5872	1.1393
GRIN1	5.4388	4.6926	4.9757	5.4184	2.6299	4.1066	0.8506	5.3512	4.3879	4.2099	5.1148	4.5119	1.6025	0	3.9491	2.9691	3.942	0	3.508	4.251
RBMY1A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX8	10.4631	10.4859	10.2042	10.2046	10.5783	10.558	10.7558	10.4676	9.2952	10.1628	10.0465	10.0138	10.097	9.9915	10.2147	10.0508	10.1465	9.7844	10.161	10.1972
DHX9	13.1561	12.5263	12.1826	12.2681	12.3036	12.4146	12.3428	12.7792	12.6738	12.2416	11.9275	11.638	11.7794	11.6708	11.9875	11.7836	11.7634	11.6636	12.1383	11.9557
LOC441204	6.0901	5.6394	5.5453	4.0627	6.6382	3.2541	5.1675	6.2078	5.1862	5.633	6.0871	6.118	6.7125	6.1518	6.4617	7.0148	5.5623	7.72	5.4337	6.199
TCOF1	11.01	9.7609	10.2052	9.9707	9.7529	10.3382	10.5042	9.1972	9.4056	9.5429	10.1428	10.0602	9.7205	9.7083	9.2539	8.9981	9.5211	8.782	9.0917	9.6943
LRRTM3	0.7467	0	0	0	0.3844	0	0	0	0	0	0.9652	0	0	0.5998	0.9501	1.3008	1.4834	2.341	1.4798	0.9275
NUP98	11.2142	11.4988	11.3979	11.3034	11.821	11.1179	11.2952	11.5945	11.773	11.7607	11.1127	10.9006	11.2577	10.9576	11.3468	11.3026	11.3128	11.3685	11.5522	11.2071
XPC	9.0299	10.267	9.8595	10.2958	10.3611	9.6103	10.1805	10.0611	10.6578	10.4182	10.824	10.4224	10.2086	10.118	10.1097	9.8656	10.4053	9.9719	10.339	10.544
SLC12A2	9.0083	11.7266	10.6289	12.8107	10.9721	10.2669	10.5066	11.8315	13.147	11.0987	11.3211	10.4109	9.3081	9.08	11.825	11.0257	11.8739	9.7364	12.1215	11.1917
GRINA	11.756	11.6257	14.8349	12.1803	13.5157	11.5083	13.0961	12.1435	13.0496	12.6356	12.3021	12.4254	12.1999	12.0878	12.2165	12.4852	12.2036	12.9486	12.1179	12.1122
LRRTM2	2.6053	3.9027	3.2069	4.3605	2.7656	1.4373	2.5408	2.7906	2.2834	5.1704	5.8536	4.8496	7.1604	5.2326	6.2659	6.3314	6.8004	7.2234	5.0687	5.7608
NUP93	11.0104	8.9542	9.9954	9.0617	9.1549	11.0826	10.2135	8.779	9.5229	9.5554	9.6261	9.5264	9.238	9.4405	9.2227	9.4892	9.2953	8.9265	9.4203	9.6679
HAP1	3.4371	1.8547	6.5362	2.3827	4.7191	3.8317	1.7696	2.3322	0.3758	4.8681	6.7965	5.2282	1.6025	0.5998	4.261	4.096	5.7545	0	5.6026	5.9964
KLRA1	5.6287	5.2002	5.6317	4.8179	5.4609	5.4913	3.7495	5.9243	3.5499	5.2947	5.3122	5.0594	5.3475	5.1925	4.5464	5.1154	5.1528	5.973	5.6237	4.9987
CAMKV	0.7467	0	0.4974	0	0	2.5103	1.1406	0	0	1.3901	0.7092	0	0	0	0.5519	0	0.5351	0	0.7787	0.3793
SPPL3	10.1197	10.3623	10.4094	10.3645	10.8211	10.8383	10.3884	10.4931	10.3351	10.4141	10.4338	10.6569	10.249	10.3095	10.363	10.4277	10.6202	10.3785	10.8596	10.6893
GOLIM4	9.4541	9.4983	9.5473	9.5707	8.2886	9.4671	8.9605	9.9316	10.264	9.3364	9.2711	9.4914	10.2616	10.5903	9.6467	9.8932	9.3579	9.5796	9.7933	10.0188
ZNF646	9.598	9.9304	9.1754	9.2258	10.2371	9.3856	8.0292	9.886	8.9248	9.0797	8.8316	8.965	8.7318	8.6895	9.1723	8.4646	8.8424	8.1165	8.4209	8.6771
OPA3	9.0814	9.3255	8.813	9.3648	8.2801	8.5755	8.325	9.3981	9.6871	8.9457	9.0879	8.9486	8.5634	8.7477	8.6248	9.0362	8.7848	8.8266	8.524	8.7931
OPA1	11.4623	10.9688	11.3516	11.1706	10.9911	10.7387	10.6527	10.9435	11.1155	10.9065	10.2212	10.4097	11.2104	10.7547	11.1481	11.0395	10.7838	11.434	10.9746	10.5716
RHEB	11.1569	9.7565	10.6992	10.0692	10.0436	10.7416	10.1963	8.7102	10.2629	9.9333	10.0391	9.969	10.258	10.2405	9.7803	9.8888	9.7912	10.2045	10.0885	9.9768
RAB40C	8.8413	9.4737	9.7766	9.6873	10.3991	9.2475	8.6803	9.9957	8.3912	8.4207	8.8927	9.1406	8.0289	8.041	8.693	8.2174	8.5561	8.0226	7.9368	8.5075
RAB40B	8.2595	7.976	7.1223	8.3935	8.0717	8.569	7.4928	7.6329	6.9564	7.9044	8.8605	8.6291	8.1708	7.7545	8.5479	8.2269	8.7141	8.1165	9.0269	9.1222
RAB40A	2.9598	0.9048	1.6128	3.552	2.3989	1.4373	1.5888	1.0539	0.9204	1.3901	3.3058	1.8611	2.1904	2.2042	2.6149	2.2937	2.3338	2.2203	2.0773	2.9847
COL7A1	5.4275	9.6192	8.7714	7.0862	4.2718	5.9357	9.0463	8.4709	6.2756	6.2822	9.7887	7.4337	4.3825	3.741	6.8822	4.6665	8.1146	2.7427	5.7247	7.3626
MDP1	6.7454	7.6046	7.0847	7.9496	8.1863	7.2691	6.6835	7.5084	7.1868	7.3867	8.0523	7.8843	7.3135	7.456	7.1063	7.2069	7.5897	7.1518	7.496	7.6004
GTSE1	8.742	6.3975	6.43	5.9163	6.2728	7.4671	8.3159	6.0701	8.7141	6.8387	5.4016	5.3792	4.069	6.9078	5.1106	4.7473	3.4434	4.0403	3.8676	4.6812
FAM183A	1.2363	1.4565	1.6128	4.949	3.2552	3.188	2.8925	3.6824	1.4778	2.9037	2.9386	2.2513	0	0	1.2618	1.3008	1.4834	0	1.4798	2.2954
ARFRP1	8.4919	8.9221	10.9792	9.5152	10.2227	9.4679	8.2489	8.8165	8.6503	8.5298	9.7301	9.6162	9.2011	9.1005	9.0175	8.4506	8.58	8.0714	7.9473	8.9311
OVCH1	0	0	0	0.8208	0	0	0	0.6211	3.2221	0.7211	0.9652	0.4606	0	0.5998	0	0.5733	0.9246	0.8586	0.7787	0.9275
FAM183B	1.2363	0	1.6128	0.8208	1.6494	2.3979	0	2.6738	0	2.1909	0.7092	1.5264	0.5938	0	1.7355	0.5733	0.5351	0	0.4413	0.6793
PSAP	15.0669	14.817	14.7063	15.5005	14.2046	14.2054	15.6408	15.0503	15.1156	15.5507	15.0943	15.5607	15.5387	15.8439	14.9537	15.4239	15.053	15.0622	15.2447	15.4204
KIAA0831	8.3686	9.6603	9.9666	9.3715	9.9452	9.2043	8.1525	9.4056	8.7059	9.4403	9.1824	9.0141	9.3804	9.2882	9.5058	9.4149	9.4497	9.864	9.9797	9.6262
SPPL2A	10.0031	9.8289	9.4325	9.9185	9.3995	9.1737	10.5525	10.1289	9.9189	9.7618	9.6015	9.5004	9.6196	10.217	9.7673	10.0388	9.4413	10.0542	9.4648	9.2651
SLC46A1	9.7694	9.4252	10.2563	9.9776	9.2347	5.9895	9.9197	10.4519	9.1545	9.8996	10.0777	9.8781	10.1374	10.3894	9.915	10.0123	10.2563	9.8943	10.1462	10.1274
TGFBR2	10.6093	10.1953	10.5704	11.0323	8.3054	9.5192	10.4464	9.727	10.2957	12.4035	12.6514	13.0235	14.3366	14.2318	13.6921	14.1881	13.8785	14.1765	13.9162	13.7445
ITGA8	4.166	4.5387	6.2466	5.1335	3.4288	2.3979	5.05	4.3861	4.4482	5.6141	5.005	4.004	5.2543	6.7984	6.2484	6.8718	6.533	6.7157	5.8374	6.7754
ITGA9	5.9704	7.247	6.2544	7.3697	5.8526	7.8421	6.9341	6.9474	5.8759	8.689	7.8488	7.5911	9.0637	9.0951	8.8858	9.2256	8.7626	8.7208	8.868	8.7291
STK40	9.3612	9.3711	9.8479	9.907	8.567	10.2947	9.5911	9.9743	9.5863	10.4426	10.4954	11.0652	11.4892	11.0061	10.5459	11.1875	11.1795	10.8083	10.275	10.7122
MYO3B	1.7541	4.4551	1.6128	8.2556	0.6876	0	2.8925	11.6661	0.6736	6.6653	4.0213	2.811	1.0131	1.0221	0.5519	1.7822	3.11	1.9436	4.2667	3.4492
ATP2A1	4.8648	2.996	2.2343	2.4849	2.9479	5.5582	2.8123	2.5467	1.8789	1.3901	2.3581	2.361	2.8298	2.0331	2.2412	0	3.2527	2.341	1.2817	2.2954
ATP2A2	12.7096	12.0545	12.9294	12.3082	12.374	12.4784	12.7874	12.3804	13.0274	12.6631	12.5163	12.0132	12.1239	12.3401	12.7012	12.7448	12.3922	12.378	12.5563	12.5713
ATP2A3	10.2399	10.266	11.8971	9.4581	8.0535	11.3708	12.3357	10.0935	12.915	10.9186	10.2231	10.0444	8.6408	8.5654	9.2822	9.4262	9.1166	8.9821	9.064	9.2827
ITGA1	9.2606	8.5431	10.6367	9.0691	8.6499	8.8497	9.7749	8.7443	9.3518	9.6411	9.3449	9.9666	12.3343	11.3063	11.3591	11.8418	11.1567	11.443	10.3726	10.117
ITGA2	11.5923	10.4154	10.6051	10.1341	10.2146	7.0959	10.179	10.2852	10.4412	10.3721	10.5087	9.0078	6.9329	6.9078	10.0577	9.9696	10.2885	7.2155	11.2646	10.3288
ITGA3	11.198	10.4477	9.8658	10.7117	10.0499	8.6738	11.665	10.4315	11.214	11.135	12.1633	11.0629	9.2634	9.3083	10.7062	10.9384	11.0538	8.5761	11.2904	11.6602
ITGA4	7.221	7.8774	7.5176	7.5635	6.114	7.6335	9.3076	7.052	7.5703	10.1321	7.9454	7.8941	7.8031	7.1759	7.016	7.6718	7.7146	7.1903	8.3839	8.4795
ITGA5	10.4804	10.6071	11.3089	10.5396	10.6425	10.7939	11.4953	10.5376	11.6207	10.9994	10.893	11.3925	11.2717	12.1873	11.2167	11.4985	11.4212	10.9909	10.7951	11.3538
ITGA6	11.0381	11.3563	10.7394	11.4023	9.7697	10.6176	12.0176	11.8795	11.5613	11.0649	12.2042	11.6457	12.0232	11.3186	12.0884	12.1264	12.6044	11.8084	12.8452	12.3444
ITGA7	8.5673	5.9955	7.8931	8.9488	6.4941	7.3474	6.5072	7.024	4.3251	7.7887	9.8722	12.6237	13.4746	12.8193	12.3028	12.7438	12.3338	13.075	8.8356	11.1425
TRHR	0	0	0.4974	0	0.3844	0	0	0	0.3758	0.4051	0	0	0.5938	0	0	0	0	0.4923	0.4413	0.6793
LOC100132288	4.8479	7.6207	9.0465	7.615	7.4663	7.4947	8.1985	8.3607	6.1958	6.7846	7.8626	8.4279	8.827	7.4144	7.7412	8.5116	9.0692	8.0136	8.2785	7.6785
DENND4A	8.1689	9.3529	11.5549	8.5179	9.0265	7.9629	9.5738	9.3509	9.599	9.5817	8.5879	8.653	9.5517	9.3095	9.4191	9.4545	9.4515	9.404	9.5803	9.2335
DENND4B	10.7678	9.1961	9.6366	9.3222	8.5232	9.9569	9.1791	9.678	8.5633	10.0516	9.5645	9.6758	9.4794	9.9288	9.1688	9.8389	9.7631	9.7315	9.2893	9.6409
DENND4C	9.9457	10.9036	10.0741	10.7372	10.762	10.9299	10.5694	10.6979	11.1201	10.8263	10.0862	10.1566	11.1581	11.1144	10.9872	10.7233	10.9404	11.4521	11.1947	10.7542
SWAP70	10.0769	10.9656	10.0407	10.8049	9.947	10.6145	10.5939	11.5027	11.1377	11.2786	10.7874	11.238	11.2375	11.541	11.3035	11.2872	11.5003	11.3172	11.5654	11.4914
RARRES1	12.6098	5.7132	6.7987	8.577	4.4025	9.2855	6.6978	4.0767	9.9449	11.5591	11.0535	9.4884	8.054	8.6967	10.8228	9.1106	10.226	8.2106	10.0875	9.7638
LOC100132287	7.8614	7.7344	8.2163	7.6346	7.9822	8.2264	5.7227	8.0139	8.0084	7.5673	8.3755	8.0022	7.2257	8.2386	8.2025	7.2223	7.6848	7.9651	7.832	7.7668
PHLDA3	9.215	9.5378	9.1568	10.171	8.0651	8.9871	9.7637	9.5168	10.3803	9.1596	9.9908	11.2565	11.1545	10.905	10.3009	10.3709	10.2152	11.1615	9.6112	10.0878
PHLDA2	5.9066	6.0054	5.6075	4.9843	5.6036	6.1417	5.3058	6.5352	10.0299	4.3076	7.09	6.8684	2.1904	4.6271	5.7705	5.3749	6.0759	3.6307	5.6131	5.9964
TACO1	9.7219	8.4014	8.5277	8.7641	8.8334	8.6813	9.0386	8.3783	9.3852	8.5929	8.576	8.8498	8.6573	8.3635	8.2974	8.342	8.6018	8.4889	7.9763	8.4491
PMM1	8.5479	8.6844	8.9223	8.4131	9.5286	8.743	9.1096	8.8689	9.2738	8.8827	9.0383	9.4755	9.5585	9.6512	8.8943	8.9131	9.0571	10.5763	8.7118	8.9461
GAP43	1.8922	2.4226	1.6128	1.3407	2.3989	2.7118	1.7696	1.8838	2.8577	2.773	3.1597	4.3878	4.8066	7.9775	3.3673	4.0112	2.9515	2.4524	4.4192	4.5014
NENF	11.1609	10.4177	9.3338	11.0051	9.1487	9.9356	12.2237	10.4415	10.15	10.1863	10.7373	10.7048	10.1176	10.2076	9.713	9.9377	10.1804	9.7058	10.4457	10.3605
SQLE	10.0828	10.1142	12.6611	10.4079	11.418	11.0425	10.213	9.9743	11.288	9.0197	9.1432	8.6332	7.2257	8.1833	9.4102	8.3847	7.8707	7.0394	8.5965	8.1556
MRPL28	9.6494	9.8597	9.3889	9.9367	10.7953	9.8838	9.2999	9.7569	9.1079	9.2141	9.9017	10.0085	9.444	9.134	9.3174	8.9732	9.1467	8.3466	8.4418	9.3467
LOC100289341	4.9778	5.0563	4.9567	4.8755	5.8902	8.6309	5.3348	5.0333	5.6031	5.3416	5.721	6.518	5.8331	5.1512	5.9334	5.5353	6.1778	5.0499	5.5812	5.712
FBXL13	2.8283	4.3664	2.9998	3.9598	4.3602	3.7877	2.7274	3.5561	3.7224	3.1866	3.8729	3.6186	2.1904	3.4321	2.9115	3.5526	3.8096	4.4423	4.2932	4.0031
FBXL12	8.8241	7.8177	7.8082	8.5928	7.7686	9.9723	7.386	7.6677	7.6074	7.9842	8.6093	8.5646	8.3749	8.3992	8.2274	8.3441	8.5578	8.4676	8.2499	8.6132
FBXL15	6.9938	7.0234	6.6994	7.0449	7.2461	6.4613	6.6525	7.1358	6.606	6.258	7.6871	7.8435	6.8462	6.7917	6.5504	6.5119	6.735	5.7294	5.8642	6.9221
CYP27B1	6.4944	5.1479	3.4973	3.6869	5.2913	6.0974	3.1751	7.6847	6.8148	3.8694	5.1539	4.648	3.1932	2.2042	4.6571	2.9691	3.8096	1.9436	4.6831	4.082
FBXL17	9.0714	9.8205	9.7887	9.927	9.2863	8.8931	9.369	10.097	9.2194	9.5068	9.2836	9.429	10.1242	9.887	10.1279	9.7575	9.5764	10.5886	9.7851	9.7608
FBXL16	7.6801	9.6872	8.7287	9.6819	10.7418	9.1456	7.2669	10.2521	10.4741	9.096	7.0105	8.0804	3.2714	1.6144	8.2672	5.6378	7.9356	1.9436	7.2101	7.7161
FAM169A	7.2369	6.0909	7.4892	6.2715	8.2075	4.3972	7.735	4.7457	3.5499	7.0405	6.7462	5.97	4.669	5.2716	6.4844	5.9539	5.4482	4.6668	7.4563	6.4627
FAM116B	6.489	8.0585	7.6127	6.9719	8.0132	7.2291	7.447	8.3841	7.1319	7.6581	8.054	7.7508	5.4179	5.6724	6.6067	6.6585	6.9702	6.1651	7.0123	7.4814
FAM116A	9.5609	9.8772	9.2553	9.7092	10.0107	10.332	10.0861	9.9124	10.0771	9.7736	9.4	9.3304	9.3023	9.2025	9.721	9.3057	9.5193	9.5161	10.006	9.7392
FAM169B	1.0122	0	0	0	0	0	0	0	0	0	0	0.4606	0	0	0	0	0	1.6009	0	0
RALGAPA2	7.9191	7.9958	8.3822	9.0144	8.0552	8.0996	6.9246	9.1952	10.9593	9.5709	8.4612	8.54	9.905	9.7599	9.3793	9.9836	9.886	10.6545	9.4684	9.2352
GHDC	8.9678	9.643	9.2641	9.8679	10.3718	9.7392	10.6159	10.1581	7.627	9.6996	9.7668	10.0413	8.9598	9.1821	9.2395	9.1346	9.2234	8.5528	9.0209	9.6041
H19	11.5456	11.4162	10.0316	11.6893	9.2764	8.9896	9.9202	10.0206	10.6245	9.8132	11.561	11.8339	12.8497	12.2203	12.036	13.0939	11.6284	12.6244	11.7149	11.6891
SDK2	5.2201	6.3443	7.8603	5.9435	4.3815	8.3448	6.1391	5.7259	8.945	7.5796	9.059	7.1036	4.154	3.9953	7.2074	7.5309	8.1192	4.1435	8.8367	8.5647
GRP	3.5666	6.553	6.6529	7.2657	2.4801	3.8317	3.8332	6.7985	2.4498	6.2762	8.1197	4.4635	0	2.3572	3.2308	5.9425	4.2788	0.4923	6.5769	5.8462
TPRN	8.4223	9.9381	8.6166	10.4468	8.2928	9.4818	9.0885	10.3571	9.0804	8.8527	8.6186	8.593	5.74	6.5353	7.147	6.7463	7.3012	6.1404	6.7878	7.5822
THSD4	8.8656	12.0745	13.2296	11.8558	13.6063	3.8317	12.3071	13.3235	11.0035	11.7989	11.5619	10.1973	7.3435	8.8137	12.2499	10.3925	10.3543	7.2194	10.1579	10.7762
KIAA0895L	8.6189	6.8849	8.2824	6.2795	7.7161	8.8108	6.7852	7.7908	7.6703	6.5993	8.5277	7.6747	6.6129	7.2809	7.0861	7.0205	7.237	7.3826	6.8033	6.7876
CHST9	3.8972	3.7237	3.4437	4.8566	1.5017	4.8458	3.8332	2.3322	0	5.7764	8.1651	6.7625	4.0246	2.0331	7.954	5.896	9.1682	1.1506	9.0059	8.199
CHST8	10.3627	6.5597	7.0208	7.4852	2.2214	0.8907	9.4433	8.999	7.1801	6.9066	8.7836	7.3858	3.7247	2.2042	4.9889	6.0313	3.1831	3.9672	3.365	7.1891
COL4A5	9.6055	11.0105	8.8963	10.2705	8.2045	2.1428	10.5432	7.0881	11.6761	9.3742	10.2035	8.9097	6.2643	6.2528	8.6701	9.392	9.2104	6.5813	9.7675	9.3096
COL4A4	6.6776	2.9149	3.9067	3.552	3.1598	5.221	3.3557	3.0469	3.7546	6.0337	6.896	5.6189	2.7226	5.3827	5.8426	7.504	5.7545	4.0042	5.9334	6.3818
COL4A3	4.9622	0	1.6128	1.8806	1.3371	3.0461	0.8506	0.6211	1.1311	3.5876	5.4443	4.1021	0.5938	2.2042	3.8122	3.7746	4.6835	1.7824	4.0961	4.6812
COL4A2	13.2038	12.144	13.2391	12.4021	12.5618	12.6686	12.7028	11.8109	12.8518	12.4435	13.2148	14.2435	14.9039	14.4284	13.9579	14.1319	13.9088	14.2164	12.0527	13.0258
COL4A1	13.1263	12.4097	13.5801	12.4853	12.8758	12.7846	12.9967	12.0313	13.3471	12.4884	12.5278	14.1725	15.0285	14.7382	13.9755	14.4947	13.9618	14.6941	11.8554	12.6552
SLC35D2	8.8176	8.5731	8.0493	8.5683	8.2844	8.8104	8.7069	8.4276	8.404	8.8168	9.0718	8.7194	8.2835	8.6325	8.3457	8.1669	8.7264	8.5036	9.0926	8.9868
CHST1	5.4161	6.289	6.7051	6.4591	6.2728	6.2509	8.1027	11.6028	7.9418	6.6606	5.8536	9.1944	3.9314	5.9858	5.7457	6.2597	5.4182	5.2482	5.9585	6.1201
ZNF879	5.1936	6.7988	8.5689	6.9089	7.5835	6.9188	6.265	7.0853	3.4747	6.3753	6.6896	6.3485	6.7539	5.9501	6.824	6.7132	6.6146	6.5565	7.0282	6.7106
