Gene	TCGA.A7.A0CE.01	TCGA.A7.A0CH.01	TCGA.A7.A0D9.01	TCGA.A7.A0DB.01	TCGA.A7.A0DC.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.AC.A23H.01	TCGA.AC.A2FB.01	TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A0DC.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11
PLAC1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID4	9.1901	6.4914	5.6788	11.0378	3.5084	9.6244	5.8785	5.5466	4.984	8.8395	10.1661	10.0331	9.5798	8.5256	10.0135	9.7849	10.2957	9.4886	11.187	10.7734
TLR5	8.5014	8.633	7.6751	9.072	8.1819	9.9179	9.5515	8.8961	7.1682	9.5715	8.3906	8.3285	8.3946	8.7786	8.1887	8.4486	8.9962	7.5204	9.3309	8.7794
ID2	11.3759	9.8044	11.9433	9.4142	9.8728	10.3195	10.2956	9.6988	11.0201	10.5616	9.4837	10.1783	9.6055	9.8617	9.7533	10.2013	10.2926	10.0465	10.5399	10.2383
ID3	12.3686	8.2649	10.346	8.8128	7.3113	7.8448	11.2241	7.6484	10.3434	9.9771	10.1533	10.1708	10.0603	9.7556	8.7919	10.7045	9.8702	10.379	9.3913	10.2898
ID1	9.2443	6.4984	7.1266	7.4791	4.597	5.2374	6.0281	6.9316	9.0836	8.1678	9.6445	9.3092	9.5614	9.3339	8.113	9.1827	8.0254	9.9238	8.4639	9.7203
TIGD3	4.5469	3.1457	3.9067	2.67	4.153	3.6473	4.5291	3.8533	5.2886	3.804	3.1075	2.9579	2.3429	0.5998	2.2412	2.6706	2.0507	1.6009	1.6539	2.5388
LOC100302401	5.3681	4.2809	3.0722	4.1587	2.6994	4.1419	3.6221	3.4916	3.8479	3.1866	4.4563	5.3984	3.416	3.4994	4.76	4.0112	4.7085	4.6198	4.6423	4.5612
SLFNL1	2.6835	2.5354	2.7578	2.3827	1.6494	3.7877	1.9302	2.4073	1.8789	1.97	2.6774	3.0261	1.8261	1.3485	1.7355	1.9736	2.3338	1.1506	2.1947	2.3812
?|652919	4.2434	6.9879	4.8853	4.1356	0	5.083	3.0379	4.8767	7.3818	5.7261	0	0	1.8261	4.9494	6.6233	7.1976	0	1.1897	3.531	0
