Gene
HLA-A
HLA-B
HLA-C
HLA-E
HLA-G
HLA-F
B2M
TAP1
TAP2
Tapasin/ TAPBP
LMP2 /PSMB9
LMP7/ PSMB8
MECL1 /PSMB10 
IFNGR1
IFNGR2
STAT1
STAT2
JAK1
JAK2
IFIT1
IFIT3
IRF1
IRF9
CIITA
GBP1
GBP3
GBP5
WARS
GAMT
PSMB11
CALR
CANX
CD74
CREB1
CTSB
CTSL1
CTSS
HSP90AA1
HSP90AB1
HSPA1A
HSPA1B
HSPA1L
HSPA2
HSPA4
HSPA5
HSPA6
HSPA8
IFI30
IFNA1
IFNA10
IFNA13
IFNA14
IFNA16
IFNA17
IFNA2
IFNA21
IFNA4
IFNA5
IFNA6
IFNA7
IFNA8KLRC1
KLRC2
KLRC3
KLRC4
KLRD1
LGMN
LOC652614
LTA
NFYA
NFYB
NFYC
PDIA3
PSME1
PSME2
PSME3
RFX5
RFXANK
RFXAP
