Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
USP49	16	2	0	0	7	8	0	0	0	14
RNF168	111	23	26	100	132	31	21	54	30	75
KCNA2	0	30	19	4	82	2	6	0	0	32
GPR132	42	55	158	42	110	81	167	200	159	60
SLC12A5	0	0	0	0	0	0	0	0	0	0
KRT6A	71351	3373	9199	27837	40110	126931	36561	52470	22004	100389
LRRC37B	146	56	55	86	154	119	33	98	0	120
ST6GALNAC6	123	40	158	182	142	262	115	96	1	47
ESS2	52	25	0	79	121	75	78	98	71	151
DIDO1	353	87	148	260	317	261	66	80	0	174
DCHS1	32	10	0	16	13	14	3	0	0	2
LSM3	3	0	0	0	0	0	0	0	0	2
CDC40	838	416	937	915	1175	1125	754	892	351	1077
SSX1	0	0	0	0	0	0	0	0	0	0
SERPINB7	784	71	137	389	379	73	298	468	902	194
PTPRM	253	92	176	288	270	152	73	33	0	62
LHFPL2	122	34	68	110	168	136	94	71	69	48
DDX28	5	0	0	19	33	18	42	16	0	2
DNAAF4	8	3	0	0	0	0	0	0	0	2
C12orf43	0	16	0	51	41	30	37	102	1	27
NUP214	68	20	203	86	46	107	64	40	0	19
FCGR3A	242	106	487	396	173	910	223	214	515	177
MEAK7	16	3	12	13	40	26	39	160	27	93
MYADM	497	171	525	2024	1487	549	828	244	526	134
BRINP2	0	0	0	0	3	0	0	0	0	0
GIPC2	44	15	88	36	53	69	14	26	0	93
TIMP4	31	32	2	0	128	56	11	0	0	4
ZNF699	29	3	45	10	15	66	4	51	0	6
ADGRB1	33	29	92	11	65	17	79	46	0	10
RABEP1	369	102	172	325	603	504	205	366	246	367
LTB4R2	475	73	298	219	174	388	295	499	168	107
RAB36	1	11	18	18	27	38	12	0	0	36
NCOA2	281	63	130	209	215	130	68	138	51	145
CREM	0	1	28	21	33	36	10	0	0	11
KCNK10	10	0	0	0	9	0	28	17	0	21
VWA2	0	18	18	3	22	13	0	32	0	8
ABLIM2	178	24	195	177	167	290	97	47	319	115
ANAPC16	148	106	287	193	310	327	368	365	644	126
PHYKPL	115	36	94	126	140	104	0	15	0	63
SIGLEC14	11	9	0	28	12	0	0	0	0	2
FIGNL1	269	60	256	135	298	173	111	194	104	261
TMEM8B	0	1	0	11	5	0	13	0	0	0
TMEM173	128	26	86	181	111	107	28	38	0	58
ZNF732	3	8	27	7	6	0	0	11	0	50
LRMP	18	11	28	22	13	0	41	48	35	17
NFYA	231	81	220	130	166	226	138	182	51	128
EARS2	63	17	79	61	92	103	86	105	0	22
SELPLG	0	16	12	52	57	23	0	24	0	6
ELOA3	0	0	0	0	5	0	0	0	0	6
LPO	0	0	0	0	0	0	0	0	0	0
BSCL2	0	0	0	0	0	11	2	13	0	1
UBL4B	0	7	0	10	0	17	0	0	0	3
IGSF21	69	20	71	152	64	60	30	62	0	14
BTBD11	528	113	216	207	438	186	399	193	194	181
CHRNA1	0	15	0	0	46	0	0	0	0	2
CNTF	123	4	0	19	43	95	61	40	0	12
SLC25A37	38	24	24	28	77	142	26	75	0	60
WDR72	36	5	0	45	108	11	21	8	0	11
DPP9	336	179	161	209	522	414	553	293	122	133
TP53TG3	0	0	0	0	0	0	0	0	0	0
KLHL28	265	133	217	292	283	339	167	334	43	295
ELP5	127	113	337	269	398	282	356	257	109	157
KRTAP10-10	0	0	0	0	0	0	0	0	0	1
PAMR1	0	0	0	21	8	0	0	0	0	0
KLK4	18	0	2	0	0	67	0	17	0	2
ACER1	514	420	369	228	605	86	126	291	32	151
ABHD16A	10	6	33	20	49	38	0	8	0	22
SAMD9	203	31	181	21	160	987	128	541	116	374
TREM1	19	26	41	69	144	490	44	81	26	29
COL27A1	431	148	415	200	283	1006	1376	1248	913	268
FAAP20	284	52	196	153	134	269	130	267	54	133
SELENOO	268	123	374	90	179	361	381	390	168	57
UQCC1	115	86	44	150	509	205	162	496	373	805
MAJIN	0	0	0	0	0	0	0	0	0	0
GPRIN3	172	69	246	209	449	334	279	442	151	90
CD244	0	3	0	0	0	0	0	7	0	1
TRAT1	30	16	0	18	42	0	12	0	0	6
DYM	334	82	84	192	311	265	54	63	24	111
BRD7	33	6	0	35	60	0	34	96	46	20
TCL1B	23	0	0	0	0	0	0	0	0	1
SLAMF1	0	0	0	0	0	9	0	0	0	2
RABL6	76	51	95	116	167	180	48	94	31	63
GPR158	0	0	0	0	1	0	0	0	0	0
THRSP	1003	10066	6180	248	20813	869	2368	745	2	365
MAST4	129	144	344	70	189	552	690	390	254	84
CORO1B	1787	812	1429	1763	2057	1772	793	1036	470	1345
ADAMTS6	0	1	22	12	0	0	0	0	0	6
MOV10L1	3	0	0	7	2	0	0	0	0	3
RB1CC1	31	2	25	0	3	40	0	0	0	12
UTP23	28	15	134	60	108	94	23	21	0	42
WFDC5	90	11	1	52	34	36	13	96	141	12
SBSN	57515	10546	17204	35448	65101	22928	10093	17521	8169	16835
OR6C3	0	0	0	0	0	0	0	0	0	1
CLIC6	19	10	15	21	31	29	0	0	0	1
SELENOV	16	1	0	0	6	0	0	0	0	3
PITPNM1	443	229	669	396	795	894	1094	835	624	866
MSRB3	45	3	0	23	8	15	0	0	0	0
CLEC7A	108	27	0	65	103	168	39	93	0	114
NDUFC1	275	93	45	137	408	178	30	104	0	113
N4BP2	502	191	326	250	523	323	178	213	72	391
ACOT8	293	149	296	225	376	219	178	125	145	376
SVOP	0	0	0	0	0	0	0	0	0	1
ARIH2OS	6	4	26	12	30	39	12	7	36	11
POMT2	35	38	113	48	89	133	123	83	41	28
PF4	0	0	0	0	0	0	0	0	0	2
NEIL1	354	215	325	244	348	261	283	190	99	234
ZNF224	36	37	67	28	44	18	10	13	0	46
HS3ST4	0	0	27	0	0	0	0	0	0	0
SLC1A3	0	2	0	29	6	29	14	0	0	3
OMD	16	10	0	53	55	11	0	0	0	4
HAUS4	28	17	59	43	20	24	29	20	0	8
TRIM23	33	27	109	60	131	65	102	41	73	85
CD52	152	243	188	233	983	508	240	185	54	176
UQCR10	589	516	855	659	1480	612	740	844	200	616
RHNO1	278	115	298	260	376	277	248	393	185	171
NAB2	80	13	55	36	42	0	48	37	0	10
YAE1	292	98	240	201	260	300	314	436	186	252
DEFB130A	0	0	0	0	0	0	0	0	0	0
COMMD9	315	270	503	445	448	606	527	688	377	254
LY6E	2379	3057	6609	4098	5020	3570	4501	11468	4668	2514
RCC2	337	148	258	258	393	619	442	466	108	241
SLC12A9	81	26	17	18	46	32	21	68	0	28
ARL6IP1	101	66	1	111	149	56	19	27	0	64
CYTH4	392	166	818	419	653	399	373	879	102	341
CSKMT	0	5	44	3	20	12	8	14	0	1
CHPF	452	164	138	1632	793	888	250	294	43	505
TMEM262	0	0	0	0	0	0	0	15	0	1
RPLP1	787	460	1070	653	699	755	791	954	559	273
