Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
CHAC1	0	1	1	0	29	81	7	69	35	12
GLRX	688	669	442	187	1138	153	181	64	0	150
MEFV	35	13	0	18	58	37	0	50	0	15
STXBP1	84	43	116	118	121	171	57	89	43	60
AKAP8L	27	18	27	45	96	26	0	41	0	24
AKR1C1	120	24	34	65	103	548	22	0	0	13
CTSL	1251	273	2041	789	1303	1913	782	928	733	733
IGFBP4	1272	470	3116	4465	846	1821	2119	1137	951	458
RAP1GAP	0	0	0	0	9	4	2	0	0	3
COQ8A	50	15	0	16	30	33	1	0	25	23
CD4	28	6	17	6	7	13	10	19	0	4
FDFT1	84	39	40	3	63	27	47	45	47	17
MAPK1	86	27	63	3	5	101	13	92	0	0
STIP1	65	22	0	41	71	28	0	12	0	67
AGRN	565	247	377	616	1170	884	1414	2655	1974	878
ABCG1	35	11	0	16	22	38	9	41	63	10
COPS3	79	21	26	46	134	125	20	67	0	46
HTR4	0	0	0	0	0	0	0	0	0	0
PFDN2	44	22	71	55	88	110	53	46	0	82
TSC22D3	664	212	210	489	884	357	648	210	54	405
BCL2L2	112	119	275	83	150	296	366	476	143	33
ERBB3	316	132	275	129	309	91	46	159	101	114
ABL1	71	11	20	43	34	36	6	31	0	7
SQLE	296	41	111	88	269	130	161	496	98	85
AFMID	133	97	159	181	130	136	87	140	127	65
CLN3	0	6	26	5	1	13	0	21	0	1
GTF2E2	75	18	89	61	64	117	67	92	0	172
MUC1	61	190	80	49	127	146	23	15	0	157
TOP2A	66	15	64	11	31	130	194	274	37	37
ALDH18A1	107	54	0	228	186	211	122	107	128	81
ATG3	151	54	135	73	205	170	75	104	47	31
ECH1	14	95	69	17	68	0	70	46	41	26
AARS	167	172	371	242	639	256	483	556	56	817
RPS5	1454	1010	1926	1409	1389	1328	849	1078	535	602
GRK2	365	90	500	170	234	339	203	313	282	205
CHD1L	229	73	327	118	212	264	89	200	161	146
GNS	465	192	366	541	625	471	318	486	274	274
MFAP1	68	22	96	22	83	45	73	116	36	107
TGFB3	40	12	96	130	32	240	100	191	183	41
AKT1	106	32	100	134	172	200	186	121	165	96
APOE	338	354	1183	247	1024	424	123	204	41	89
DDX39B	892	323	967	588	906	1202	638	1304	207	1063
KCNQ2	0	0	0	0	0	0	0	0	0	0
RFC5	35	3	62	6	11	0	12	48	43	7
ADCY8	0	2	0	4	17	0	0	0	0	3
CDK4	992	389	1102	947	1550	1536	879	1244	448	2161
FOS	241	92	160	31	13	161	336	250	131	97
STOML2	116	21	84	56	57	119	63	40	38	31
AIFM1	180	112	173	122	328	317	158	206	84	139
ADAT1	0	4	17	0	5	12	0	14	0	5
COX4I1	133	81	153	92	113	46	24	42	29	82
IER3	55	97	239	103	382	412	113	132	0	139
PI4KA	242	122	197	241	269	258	47	19	0	125
TSPAN4	0	0	38	21	5	8	3	23	0	0
C3	517	614	1189	1861	1221	237	34	196	1	52
FBXO7	518	287	656	580	748	646	126	254	0	397
ACD	28	4	15	43	54	35	14	11	0	18
SRRM5	0	1	0	0	5	0	0	0	0	1
AGPAT2	30	14	0	70	63	38	11	20	0	15
ABCC5	314	77	389	147	219	348	403	257	96	330
CLSTN1	1579	760	1132	2751	1199	2682	2387	2320	1555	1766
HSPA1A	12	0	0	0	90	0	0	0	0	60
P4HB	0	8	0	3	6	0	0	71	51	3
TPRKB	15	0	0	0	6	0	9	0	0	1
ATP5MF	336	165	253	236	408	250	203	110	0	119
ELAC2	84	14	21	51	46	67	81	68	0	41
ABCF3	92	16	0	81	84	74	13	31	0	57
RRS1	232	26	59	111	220	301	215	399	143	128
ADSL	37	11	0	10	18	35	9	30	0	2
CHIC2	240	53	149	86	131	174	90	189	116	105
GSK3A	336	127	475	307	587	549	482	526	415	595
MRPS2	64	42	43	95	106	39	25	37	0	70
TMEM230	209	46	161	105	202	223	100	93	28	228
AKT2	48	16	19	6	56	45	23	0	0	17
ATF3	0	0	0	0	8	3	0	0	0	0
DNAJC11	290	91	364	261	356	286	240	287	167	485
AAMP	177	76	161	266	282	271	196	281	90	439
RNPS1	1377	424	1292	1221	1475	1773	1129	748	234	861
ADO	195	93	243	153	410	280	156	272	57	208
ATP5F1D	419	332	327	396	592	374	248	135	50	404
BLOC1S1	225	89	196	282	285	232	125	315	160	189
CASP7	250	44	125	194	185	80	106	137	80	151
CDC25A	0	10	0	9	8	17	2	13	63	25
AP2M1	80	20	58	38	59	112	41	57	0	42
AZIN1	74	21	20	20	64	18	16	69	41	21
CA2	174	30	142	86	137	763	131	57	1	222
CCNB1IP1	120	36	136	69	119	177	34	77	64	71
ALG8	9	0	0	3	0	0	0	0	0	1
ARHGAP1	117	15	219	83	53	133	75	15	38	14
BCL7B	34	40	22	131	100	162	111	379	81	176
CASP10	30	20	102	35	76	62	68	22	0	49
CD8A	18	19	72	32	107	93	9	40	0	56
ANO10	281	255	467	348	652	212	215	357	134	156
ATF6	164	97	362	221	399	222	109	214	141	128
ATP6V0D1	878	323	512	657	966	581	348	415	234	552
C1QA	132	62	164	168	80	37	19	35	34	23
CCDC86	12	34	18	34	100	27	32	44	0	30
ALDOA	5219	3530	7038	6865	9204	11468	7277	11640	5528	5336
AQP6	0	0	0	0	0	0	0	0	0	0
BCAP31	829	866	876	1216	2175	1048	432	626	228	1943
CAPNS1	402	144	280	511	766	597	341	315	286	348
CD320	63	39	58	50	71	66	27	0	0	31
ANKRD10	1272	320	1182	577	857	1224	386	650	291	393
GET3	181	51	187	113	230	236	149	164	167	128
ATP6V0B	75	55	39	76	163	186	112	113	0	149
BZW2	84	26	54	49	136	34	41	39	0	40
CBR3	203	25	152	110	118	66	19	55	0	24
CDCA5	16	0	0	0	5	9	0	0	0	17
APPL1	35	8	80	45	41	47	13	53	107	21
BAG6	720	407	896	879	906	1048	949	1364	885	596
CANT1	100	42	130	42	126	191	218	130	206	37
CCT2	89	40	158	71	138	159	29	31	0	94
AMMECR1L	64	17	121	37	62	97	46	89	49	56
ARPC5L	647	227	722	404	740	624	587	1143	361	415
ATP5ME	734	363	406	657	1440	514	207	724	203	690
BMI1	25	0	25	0	8	27	0	0	0	2
CBLB	37	12	0	24	26	78	40	38	16	14
CDC26	147	47	155	174	137	173	39	111	150	97
AP4M1	62	47	75	101	116	66	60	39	62	96
B4GALT1	16	15	58	61	59	281	142	154	273	24
CALU	0	12	44	45	4	22	4	35	0	9
CCND1	243	45	250	126	84	72	95	137	26	29
AMD1	546	115	546	381	746	389	120	479	68	203
ARHGEF9	0	4	0	0	0	16	8	19	0	0
BECN1	216	45	71	111	144	59	36	218	58	159
CASP3	107	33	184	123	176	242	236	334	300	96
ADGRE5	41	76	143	195	319	105	88	116	0	67
AP1S1	595	369	234	415	861	712	466	614	431	925
ATP11B	392	108	298	198	276	138	81	132	29	115
AURKB	127	37	47	32	85	63	136	179	69	53
C2CD2	74	127	230	29	148	89	20	59	0	15
CCL2	564	59	307	523	416	159	39	90	65	53
ALDOC	9	12	17	37	6	6	0	0	0	2
ARF5	447	179	357	347	307	550	483	446	360	101
BCAT2	32	74	34	21	92	10	24	8	0	8
CD40	42	11	0	10	12	0	7	11	0	7
ANKRD27	174	75	80	133	208	97	99	28	39	142
ATF5	313	108	189	259	366	645	210	519	346	359
ATP6V0C	349	247	475	350	697	205	220	226	205	81
C1D	94	42	124	131	231	327	184	349	125	294
CCDC130	241	58	77	138	199	238	153	59	52	128
ALDH7A1	0	1	0	7	14	0	9	15	0	2
AQP3	1118	39	553	263	809	444	48	312	80	171
BANF1	144	110	249	175	162	188	167	139	34	82
CAPN1	240	77	301	167	315	296	392	561	140	194
CCT3	538	232	888	789	864	872	280	739	91	1288
ANAPC11	90	59	173	116	115	173	163	228	396	56
ARSE	0	0	0	0	0	0	0	0	0	0
BTN3A2	129	54	0	30	135	174	18	40	0	131
CBR1	2302	514	1132	1927	2398	1969	1953	1088	808	2359
CDC34	131	53	110	114	97	34	14	135	92	38
APOO	62	27	100	15	73	50	6	21	42	47
BAD	43	30	81	110	100	143	231	329	335	82
CAMK2A	0	0	0	0	4	7	0	0	0	0
CCNL2	1464	282	1633	471	801	1337	608	880	289	709
AMDHD2	297	67	188	239	162	323	62	88	0	305
ARL6IP4	382	194	335	317	458	363	248	403	180	243
CFH	0	20	29	20	17	24	6	0	0	1
CIC	55	23	112	83	49	47	108	116	48	26
CPNE1	29	26	36	41	50	164	28	108	0	28
CYP46A1	0	4	18	8	0	0	12	76	0	0
DLD	9	6	0	19	9	0	11	0	0	6
CDIPT	280	98	310	279	276	209	181	198	85	219
CHD4	116	39	65	46	107	38	73	18	70	13
COL4A2	426	133	260	1966	502	621	112	35	0	85
CTSA	548	216	343	685	907	449	176	219	302	248
DDR1	298	151	178	395	370	549	564	609	876	405
CERK	0	2	0	0	7	0	0	0	0	0
CHST15	0	10	28	12	15	24	37	24	74	5
COX7A2	368	230	360	295	680	524	399	723	459	189
CYP1A2	0	0	0	0	0	0	0	0	0	0
DHDDS	123	86	55	82	161	78	59	44	35	56
CDH1	321	193	182	378	485	505	445	530	217	804
CGA	0	0	0	0	0	8	0	13	0	3
CNPY3	344	135	215	439	485	680	595	581	286	314
CTHRC1	309	106	124	583	174	643	126	29	0	44
DBH	0	0	0	0	0	0	0	0	0	0
CENPA	0	1	31	0	0	0	0	0	0	1
CHPF2	110	55	122	122	114	136	62	114	46	35
COPZ1	315	171	235	311	295	451	368	308	417	178
CXXC1	440	73	195	195	308	290	109	108	144	227
DES	35	10	22	122	11	66	39	20	0	0
CFLAR	69	26	44	21	45	37	6	4	0	5
CLTB	1466	506	966	1156	2247	1455	319	1080	624	832
CRTAP	0	0	19	0	2	5	0	25	0	0
DAG1	96	53	215	159	195	142	142	86	46	80
DNM1	426	106	386	342	211	239	38	78	0	36
CDK2	50	6	75	42	78	46	27	57	40	52
CHMP6	91	66	97	128	132	146	86	102	0	107
COPS5	97	32	82	62	138	72	56	75	23	225
CTTN	595	207	404	566	493	538	320	411	225	307
DEPDC1B	16	20	135	22	53	57	258	408	272	153
CKLF	57	27	61	107	139	196	41	99	67	48
CYTH1	32	7	22	8	19	27	28	27	65	15
DMTF1	19	10	0	5	19	19	0	0	0	6
CDK11A	206	57	212	139	168	137	86	168	45	196
CHEK2	45	20	46	14	34	1	48	0	101	35
COL5A1	659	162	382	4473	604	2110	340	225	120	372
CTSD	860	469	616	766	1279	1131	253	474	166	202
DEF6	55	24	95	55	86	125	84	184	122	63
CES1	183	34	0	515	149	57	4	11	0	18
CIAPIN1	15	7	55	28	50	28	16	51	0	54
COX7B	187	130	136	164	277	229	191	123	0	79
CYP2E1	97	12	65	44	37	0	9	60	0	16
DHX16	53	17	1	63	62	20	43	8	0	66
CDH3	219	32	142	89	175	606	330	725	153	227
COASY	206	102	217	191	340	226	269	180	100	93
CTNNAL1	74	6	122	71	63	41	33	180	112	32
DDB2	678	143	371	188	320	252	373	390	205	104
CEP57	32	8	121	13	23	11	1	36	0	19
CORO1A	263	221	506	546	576	591	401	626	276	134
CYCS	64	18	51	37	79	89	39	82	49	56
DFFA	21	19	19	20	36	42	19	8	0	6
CDCA8	0	7	0	4	24	14	0	40	0	21
CNDP2	23	3	0	2	16	0	0	0	0	4
CSNK2A2	124	49	38	57	181	34	26	31	36	29
DAXX	475	185	272	444	817	436	152	213	0	712
CEBPD	342	185	315	324	186	160	133	333	187	37
CHN1	64	11	127	35	40	140	54	31	0	46
COPS7A	57	16	36	40	42	98	30	75	26	68
CXCL2	0	0	0	0	1	3	0	0	0	1
DERA	0	4	22	2	12	12	46	23	0	19
CFL1	2030	854	2451	3608	2018	3838	2212	2953	1889	1793
CKS1B	154	61	262	98	211	280	467	795	384	320
CPSF1	959	165	760	379	618	840	301	579	94	297
DAD1	355	141	245	502	564	373	148	167	0	77
DNAJB2	20	0	0	0	3	0	0	0	0	5
CDK11B	235	58	61	233	279	138	32	31	0	176
CHERP	88	21	0	53	66	12	18	25	0	132
COPE	1976	1129	2519	2308	3886	3259	3719	3957	2524	3391
CTSG	378	97	186	709	997	67	39	34	0	88
DEFB119	0	0	0	0	0	0	0	0	0	0
GAA	150	68	132	466	256	172	48	132	64	62
GNA15	64	13	158	58	113	71	43	186	40	208
EDN1	55	42	65	534	109	129	94	190	440	61
EXOC1	69	24	65	24	135	77	18	69	0	65
FAU	1332	980	2047	1447	2207	1889	2162	2269	1502	1877
FKBP14	18	0	0	13	13	22	0	0	0	6
GDPD5	0	7	0	19	8	22	12	26	0	4
DUS1L	191	103	310	97	170	194	223	217	159	57
ELAVL1	104	5	32	49	42	12	0	24	0	21
FAIM	75	29	65	51	78	124	47	113	44	25
FUT1	37	30	81	42	65	33	101	80	73	74
GMCL1	27	5	32	19	3	11	0	21	0	7
EBP	129	117	177	42	348	120	71	84	0	88
ETFB	143	81	76	141	183	165	62	162	41	88
MINDY1	1	12	50	12	27	0	0	0	0	3
FGF17	0	0	0	0	0	0	0	0	0	1
GAGE12J	0	0	0	0	0	0	0	0	0	0
DPM2	65	48	82	97	64	100	134	96	126	70
EIF4EBP1	0	1	0	2	5	1	2	0	0	2
F2	0	0	0	0	0	0	0	0	0	0
FPGS	58	16	24	24	19	65	0	0	0	14
GLRX2	13	2	0	0	0	0	8	0	0	0
E2F2	0	0	0	6	3	0	13	14	0	2
EPRS	25	0	0	4	13	0	0	0	0	1
FAM50A	0	2	0	10	14	32	15	9	0	2
FBXL12	65	9	115	65	76	54	9	60	63	65
GAD1	15	1	0	0	0	0	9	9	0	1
GNB5	20	0	0	27	9	54	8	7	0	63
EIF3I	272	99	138	319	271	212	39	113	1	105
EXOSC7	97	27	1	84	70	62	119	82	167	45
FOXM1	0	1	0	0	0	0	1	0	0	6
GGH	344	36	67	155	174	105	165	451	355	205
DYNLL1	1154	191	531	571	1211	1151	346	882	314	613
ENOSF1	75	36	106	25	18	35	31	17	0	12
FAM20B	46	5	0	12	22	21	11	26	45	13
GABBR1	196	58	365	88	234	398	93	188	54	105
GNAL	1	4	1	0	7	0	24	6	89	3
EIF3C	4	8	0	1	9	0	0	15	0	4
EXOC5	10	1	0	0	0	12	5	0	0	0
FBL	281	85	174	207	123	125	118	78	0	57
FLOT1	49	23	18	26	29	8	8	17	28	7
GFOD1	41	25	62	121	88	124	69	117	128	64
DUSP3	255	68	407	185	274	341	133	197	117	201
ELOVL1	493	437	285	296	886	326	161	198	129	147
FAM161B	16	5	0	37	13	0	0	0	0	6
G6PC3	67	30	74	68	66	45	44	45	44	24
GNA11	0	0	25	3	18	15	10	9	0	4
EDF1	1010	502	702	1173	1659	1103	870	964	435	435
EVL	587	321	1061	594	786	969	457	871	159	369
FASTKD5	52	32	76	41	137	78	77	156	168	175
FHL2	38	6	0	62	35	157	92	187	80	186
GATA3	7	0	32	4	9	33	13	27	0	12
DRAP1	184	147	347	292	424	818	550	903	350	129
EIF5B	87	12	21	19	65	28	0	22	0	21
FAH	256	118	509	255	354	437	566	407	404	299
FTSJ3	144	14	66	61	103	36	33	41	0	51
GLUD1	49	4	50	30	38	24	12	24	33	9
EBNA1BP2	478	157	367	530	774	495	120	277	0	1448
ESRRA	0	6	54	11	15	0	23	18	38	10
TLCD3A	165	29	49	83	68	43	53	52	15	94
FEN1	33	17	41	18	35	47	84	65	176	65
GADD45B	314	133	324	523	480	449	328	555	287	311
DNMT1	31	6	0	12	16	49	25	24	0	30
EIF3L	898	577	777	827	1112	671	222	402	73	409
F10	37	3	38	233	45	10	0	0	0	2
FOXO3	593	118	411	279	406	266	92	72	47	110
GLI2	0	1	0	7	3	0	0	0	0	1
E2F1	5	0	0	0	0	13	0	0	0	3
EPN2	4	2	32	11	0	3	0	0	0	2
SHLD2	181	37	0	67	91	155	55	38	38	48
FBN1	36	8	28	69	18	29	0	16	0	1
GABPB1	112	40	134	61	158	65	0	53	0	74
RACK1	1736	878	1552	1080	1396	1311	596	958	496	632
EIF3E	6350	4371	10028	5904	11099	9014	10202	17708	7497	13148
EXOSC4	70	23	108	50	100	92	214	276	130	105
FOSL1	76	5	38	62	189	344	241	261	162	40
DVL2	159	67	148	114	171	82	121	86	47	34
EML3	0	0	0	10	2	0	0	0	0	0
FAM192A	0	0	0	0	7	0	0	0	0	0
HACL1	55	73	22	31	112	42	39	0	0	12
HJURP	10	0	0	0	0	0	9	0	0	1
HSPG2	343	141	315	870	362	323	387	183	0	93
IL6	46	2	24	7	3	32	0	27	0	6
KCTD5	24	29	96	48	68	139	71	90	39	24
ADGRG1	117	54	74	137	135	92	54	33	30	33
HIF1A	292	85	438	304	373	856	381	542	36	345
HMOX1	1071	695	779	1052	3919	599	462	616	880	363
IFITM1	1004	537	803	1586	2621	952	285	504	335	1986
ITGA1	49	17	120	255	73	202	16	14	0	33
GTF3C5	11	2	0	24	1	20	13	20	23	0
HIST1H4J	127	71	178	112	165	196	146	238	1	60
HSPA1B	628	139	535	296	1045	507	1093	922	829	546
IKZF1	0	0	27	0	6	0	0	0	0	7
KCNK16	0	0	0	0	0	0	0	0	0	2
GPC1	28	16	0	27	25	33	0	0	0	24
HERPUD1	341	135	312	156	482	413	522	380	410	501
HMG20B	18	6	34	36	0	66	20	43	0	6
MRPL58	69	20	0	11	49	37	12	0	0	63
IRF7	143	15	142	29	50	143	68	77	25	32
GSTM2	302	67	290	189	157	98	33	93	0	73
HIST1H3H	152	30	105	43	81	150	96	125	0	69
HSD17B10	257	81	27	107	207	148	60	90	0	47
KCNF1	5	0	0	0	0	0	0	0	0	0
HEBP1	217	86	118	243	223	167	213	97	47	57
HLA-DRB1	1072	0	1162	8	3046	1330	0	769	0	762
IARS2	138	61	287	91	219	93	0	38	0	72
INPP5E	78	16	44	70	60	101	8	180	71	27
KEAP1	223	62	87	142	206	184	109	203	0	204
GSK3B	669	234	602	503	755	819	170	472	129	266
HIST1H2BH	16	10	20	5	14	10	22	40	0	13
HS2ST1	317	114	459	321	426	300	102	244	34	224
IKBKE	59	37	52	11	36	38	47	135	166	11
KAT8	45	19	15	63	95	24	49	0	0	17
HAUS3	78	8	57	8	45	55	24	0	0	38
HLA-B	2319	2370	3869	3615	5958	6238	5408	11789	3095	3023
HTRA1	382	77	150	676	328	412	61	161	186	176
ILK	285	142	348	540	464	829	649	814	946	507
KDM3A	41	14	0	22	29	22	20	6	0	38
GPSM3	32	27	59	32	37	53	23	12	0	11
HIST1H1C	378	287	382	470	594	486	410	448	111	181
JPT2	41	12	106	31	39	11	79	72	64	98
IFRD2	146	14	95	55	95	132	104	138	0	79
ITGB1	552	109	502	452	561	1112	313	296	258	156
GYG1	124	46	103	87	139	194	67	135	82	125
HIST1H4L	0	0	0	0	6	0	0	0	0	0
HSPB11	40	7	0	26	61	20	13	62	0	21
IL4R	134	23	136	155	104	132	54	204	60	33
KCNK4	34	0	0	10	2	0	0	0	0	1
GPR17	15	0	0	0	0	0	0	0	0	1
HES1	218	167	199	388	716	368	278	288	173	162
HMGB1	14	9	56	0	35	17	0	34	0	15
IDO1	11	6	0	26	43	41	0	47	0	12
ISOC1	35	64	33	40	196	13	49	27	0	30
GTF2B	31	11	26	5	4	6	21	1	0	5
HIST1H4E	290	124	230	335	525	271	460	490	192	154
HSP90AB1	1613	634	1052	1427	3200	1769	864	1792	654	2893
GPATCH8	117	38	1	86	95	120	56	22	0	42
HERC6	92	9	64	26	29	26	0	0	0	34
HLA-DRB3	90	0	81	0	95	122	0	42	0	18
ICMT	65	19	137	35	58	88	137	74	0	23
INS	0	0	0	0	0	0	0	0	0	0
GSS	479	279	502	417	644	506	140	213	60	313
HIST1H2BM	87	46	63	11	12	22	38	78	0	13
IKBKG	77	16	35	36	120	123	26	101	45	95
KATNA1	171	47	49	129	165	210	29	99	0	83
HDGFL2	131	57	116	155	139	162	83	97	0	108
HLA-DPA1	0	0	0	0	7	0	0	10	78	5
HYOU1	175	109	156	260	424	394	413	617	463	366
INPP1	96	48	84	82	108	54	19	103	0	47
KDR	12	6	0	4	32	19	28	4	26	19
GRIN1	0	0	0	0	5	0	0	0	0	1
HIST1H2BG	0	0	0	2	10	18	0	12	0	6
HOMER2	142	41	80	93	136	191	173	204	201	58
IKBKB	85	16	65	53	58	53	31	70	0	61
ITM2B	322	43	192	52	245	312	157	332	195	336
NDUFS6	594	265	383	676	1233	953	289	569	223	612
LIG1	58	29	108	50	110	118	38	103	76	65
MAP2K5	49	43	52	50	88	22	59	26	26	40
METRN	16	18	64	20	52	22	46	50	0	29
MTA1	520	229	876	445	503	708	628	867	219	286
MYLK	753	203	305	676	862	727	403	516	558	121
KPNA2	713	231	436	473	675	460	250	237	45	362
LRRC41	126	59	101	247	250	192	40	135	70	161
MBOAT7	34	14	60	31	50	50	101	71	48	8
MRPL28	27	23	3	60	21	72	29	30	0	19
NDUFA13	476	254	494	695	763	322	188	194	45	213
LGALS8	78	21	67	39	32	81	48	55	13	15
MAML1	20	21	56	46	42	76	26	87	43	35
MELK	0	1	0	0	3	50	9	19	0	4
MT1HL1	0	0	0	0	0	0	0	0	0	3
MYCBP	10	0	14	3	2	15	0	11	0	0
KLHDC3	290	255	806	418	540	587	1155	1063	411	309
LRPAP1	71	22	56	24	32	47	14	14	0	1
MARK4	31	8	26	14	16	16	6	7	0	3
MRPL24	131	49	86	79	131	108	65	66	59	96
NDC1	89	60	120	97	124	133	156	80	33	93
LAMC2	75	31	226	82	79	993	650	530	574	74
MAEA	259	62	93	144	311	363	295	541	371	227
MDH1	82	58	8	127	252	144	21	88	38	196
MRPS34	341	181	171	355	374	354	191	189	49	151
NENF	42	77	196	122	96	118	143	114	89	49
LPIN3	11	8	0	6	16	0	20	9	35	9
MAPKAPK3	177	73	306	76	183	61	152	246	97	38
MRPL12	294	140	218	142	454	276	145	61	0	98
MUTYH	30	29	53	34	26	26	38	20	34	15
CIAO3	60	25	43	72	75	123	90	80	0	28
LAMA3	337	124	278	498	593	1645	617	927	559	709
LZTR1	50	2	0	13	25	59	10	22	0	13
MCM7	502	254	981	497	635	871	1276	1199	846	867
MRPS23	0	2	0	6	17	0	0	0	0	9
NDUFS8	172	208	193	258	562	302	155	127	41	362
LONP1	97	24	13	89	122	82	7	26	32	97
MAPK1IP1L	37	0	24	3	3	0	0	21	0	15
MIF	419	195	136	302	337	615	191	216	50	165
MTHFD1	88	4	19	18	65	23	9	20	0	71
MZT2B	0	0	19	6	0	0	9	0	0	2
KRT17	4797	2409	6958	6731	11949	42210	18684	25835	16109	11557
LSM7	236	113	436	381	492	516	355	382	161	310
MCEE	69	3	29	3	22	14	16	0	0	4
MRPL53	17	41	51	39	85	57	73	0	152	51
NDUFA8	241	136	60	175	308	169	101	157	105	236
LGMN	276	188	261	157	375	201	95	102	12	130
MAN2B1	408	213	274	539	373	425	112	147	1	70
MEST	0	0	37	0	5	0	0	0	0	0
MT2A	431	143	2345	581	335	628	166	1089	273	20
MYL9	1650	467	598	4067	1052	1671	520	364	280	405
KLHL21	77	49	71	40	71	87	21	81	0	25
CARMIL1	223	77	246	122	279	341	382	178	251	213
MARS	29	39	120	49	109	88	120	45	0	31
MRPL27	47	7	73	30	77	35	42	51	105	16
NDUFA1	429	309	476	739	1015	753	348	436	339	492
LAS1L	23	6	0	15	4	23	7	4	0	7
MALT1	517	70	225	51	339	321	113	228	0	130
MEA1	119	53	63	80	128	65	17	104	38	122
MSH6	197	43	242	110	221	212	87	123	47	195
MYBL2	10	3	14	4	12	16	19	97	0	68
PCLAF	11	0	14	13	0	0	9	0	0	2
LRP10	1417	671	1807	1210	2337	1704	948	2086	788	502
MAPRE1	305	150	219	460	448	508	646	422	321	308
MRPL13	60	31	63	45	84	87	39	90	0	56
NCK2	132	69	332	198	176	193	309	340	591	50
LAMB3	46	24	20	63	51	407	63	105	103	83
MAD2L1BP	0	13	1	14	23	32	9	19	49	38
MCOLN1	352	196	449	321	256	565	748	749	518	191
MRPS30	8	10	45	26	54	35	24	26	0	21
NDUFV2	391	162	498	234	370	198	58	119	79	83
LPAR2	80	43	72	34	80	77	69	51	0	28
MAPK3	149	33	179	129	139	149	38	86	0	27
MLH1	42	22	61	42	33	33	39	20	0	29
MTMR2	2	0	21	15	39	0	17	26	0	13
NAE1	117	24	25	25	47	53	30	27	0	9
LAGE3	119	91	165	89	205	277	147	250	145	282
LYRM1	80	37	81	31	45	43	0	25	1	8
MCM3	468	325	492	650	894	570	645	585	140	910
MRPS17	75	29	42	52	65	107	6	12	34	46
NIT1	303	154	180	230	396	363	160	172	0	272
NT5DC2	0	1	0	0	0	0	0	0	0	0
OS9	269	70	179	231	274	247	66	92	8	323
PCDHA9	0	0	0	0	0	0	0	0	0	4
PIP4K2B	86	36	71	73	54	64	50	27	45	47
NFKB2	81	68	161	107	246	103	94	114	44	109
NPDC1	1171	523	1311	1587	1337	1138	724	453	230	321
NUP88	77	34	74	65	113	110	63	119	1	177
PACSIN3	14	6	13	18	44	45	35	58	47	54
PGF	448	80	234	176	312	482	263	136	39	289
NISCH	413	158	502	325	380	346	238	554	202	266
NSUN2	289	99	110	203	381	361	173	339	301	268
ORC6	0	0	0	0	14	0	5	0	0	6
PAXIP1	10	4	0	0	1	0	0	0	0	4
PIK3R3	0	1	0	8	16	25	0	4	44	1
NFIL3	224	77	167	95	127	206	126	47	0	59
NOSIP	435	257	435	611	768	770	571	733	236	776
NUP62	0	2	0	0	0	0	0	0	0	2
P2RY4	0	7	0	1	9	0	6	0	57	0
PEX11B	146	64	153	151	115	108	85	68	148	63
NIPSNAP1	0	20	62	31	20	19	55	9	70	2
NR2F6	55	16	64	31	58	25	10	13	0	8
OPN1SW	0	0	0	0	0	0	0	0	0	0
TENT4A	14	5	59	23	48	63	23	44	0	36
PIH1D1	28	6	0	45	42	41	9	16	0	6
NOP2	185	54	181	157	286	278	67	192	124	199
NUP107	43	5	45	33	36	45	21	12	0	41
P2RX4	0	8	17	8	16	22	11	15	71	12
PDLIM1	238	71	104	461	201	516	177	92	189	165
PLA2G2F	10	5	36	7	19	0	0	23	71	4
NFU1	33	4	29	5	11	0	0	49	0	8
NPVF	0	0	0	0	0	0	0	0	0	0
OMA1	28	5	0	23	22	0	0	0	51	16
PAK4	0	5	0	15	15	0	8	25	40	0
PIAS1	199	29	62	54	98	44	15	32	0	59
NOC3L	198	51	145	115	194	282	53	123	40	185
NT5E	56	7	7	24	42	50	0	0	0	3
OST4	892	367	552	769	790	836	189	415	0	360
PCDHAC2	0	0	0	0	0	0	0	0	0	2
PKMYT1	39	19	28	6	28	38	163	177	0	72
NFKBIA	52	67	175	90	218	234	344	282	98	84
NPEPL1	120	50	248	121	91	140	87	184	38	120
NUP93	13	3	0	38	25	12	0	0	0	5
PAFAH1B3	13	12	24	19	40	27	29	47	0	45
PGM1	12	55	70	23	110	64	45	40	31	28
NT5C	153	28	99	82	89	101	65	126	0	81
ORM1	2	0	0	0	1	1	0	0	1	2
PCBD1	0	0	0	0	0	0	0	0	0	0
PIN1	27	62	116	104	97	138	111	99	49	39
NFKB1	207	150	165	527	413	269	148	364	90	196
NPC1	136	105	251	140	360	169	31	23	1	104
NUP85	62	36	82	41	135	38	179	250	0	200
P4HTM	35	20	81	24	60	33	18	0	0	22
PFKL	98	102	107	102	162	107	139	132	0	13
NRBF2	58	18	47	33	70	73	29	37	0	37
ORC1	0	3	39	6	4	0	1	3	0	5
PARP2	31	12	0	32	37	13	4	0	0	19
PIK3C2B	43	16	9	20	37	0	13	33	32	18
NFE2L2	2063	512	860	1018	1823	653	467	930	355	1126
NOS3	0	10	75	21	22	39	33	18	79	4
NUP37	0	3	0	3	0	0	0	0	0	0
P2RY14	127	14	15	50	113	15	0	9	0	25
PDZD11	45	4	10	12	17	41	68	74	0	12
NIF3L1	0	3	0	0	0	0	0	0	0	2
