"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene.symbol"
"ENSG00000000003",1799.99694668675,0.169411962153861,0.159242411036984,1.06386207700985,0.287391184729848,0.497803916958557,"TSPAN6"
"ENSG00000000419",3646.24904310589,-0.373541739807833,0.179123218240285,-2.08538984212949,0.0370339281424023,0.126180369114912,"DPM1"
"ENSG00000000457",379.508513775741,-0.419484984255383,0.192675539326899,-2.17715744157681,0.0294688224450515,0.106792850113615,"SCYL3"
"ENSG00000000460",1127.66915012188,0.219806045637209,0.198278694792711,1.10857117486578,0.267615218859861,0.475802096487379,"C1orf112"
"ENSG00000000971",1105.7564261001,0.510973475912261,0.452072461085668,1.13029109246146,0.258353586701072,0.465221853321587,"CFH"
"ENSG00000001036",2633.15993998517,0.142341271318421,0.199580245974228,0.713203206177038,0.475720022602183,0.674692873815075,"FUCA2"
"ENSG00000001084",1726.12907259056,-0.557263271266529,0.200788343844608,-2.77537660103318,0.00551378189603521,0.029278071497706,"GCLC"
"ENSG00000001167",1430.96745650214,0.0161290669200883,0.155528972368591,0.10370458104657,0.917403791110986,0.959761227873071,"NFYA"
"ENSG00000001460",576.833824979253,-0.437111323247153,0.212052185061714,-2.06133845364498,0.0392707620641409,0.131802845070308,"STPG1"
"ENSG00000001461",1924.30919885383,0.00399006830935134,0.236026899146178,0.016905142268891,0.986512290416764,0.993144305814524,"NIPAL3"
"ENSG00000001497",3594.02200712227,-0.246431753889011,0.185153814455051,-1.33095693769159,0.183203180617546,0.37351275948198,"LAS1L"
"ENSG00000001561",347.477389371939,-0.266419437002935,0.213976336303002,-1.24508831960592,0.213099287160273,0.411934276835219,"ENPP4"
"ENSG00000001617",972.237457007142,1.58144282710177,0.179652692825588,8.80277830645759,1.33470052469678e-18,1.44093337459852e-16,"SEMA3F"
"ENSG00000001626",32.3366576636091,4.77626538667326,0.675483403537102,7.07088488283031,1.53948813821569e-12,8.26206798801361e-11,"CFTR"
"ENSG00000001629",4556.80345822551,0.267252289479882,0.157975970654349,1.69172747205097,0.090697947873487,0.234108909630801,"ANKIB1"
"ENSG00000001630",536.190468154177,0.834513194144726,0.321539047394273,2.59537123378189,0.00944888007329458,0.0448622485505004,"CYP51A1"
"ENSG00000001631",2158.60593688686,0.138022272775115,0.142881014340922,0.965994491372982,0.334046937499295,0.546486023465749,"KRIT1"
"ENSG00000002016",260.894329328025,-0.139086945377224,0.265178713820863,-0.524502677357362,0.59992895811518,0.771647184303623,"RAD52"
"ENSG00000002330",1922.90528596437,-0.259242164551044,0.14715387993505,-1.76170797987431,0.0781186489059608,0.211178510923684,"BAD"
"ENSG00000002549",1111.24519262846,0.162282378847415,0.315334945239049,0.514634934369205,0.606808148488724,0.776662566121251,"LAP3"
"ENSG00000002586",3358.304923307,-0.129129961956268,0.184141300890598,-0.701254750193099,0.483144047312909,0.680799030862563,"CD99"
"ENSG00000002726",99.1932272930826,-4.18566620229994,0.464269885039918,-9.01558842641722,1.95816378538383e-19,2.37654531573806e-17,"AOC1"
"ENSG00000002746",38.9519681752628,1.67429563498078,0.476749665292467,3.51189682315492,0.000444920692384207,0.00375825423255168,"HECW1"
"ENSG00000002822",711.212507181011,-0.214910094658043,0.163290467871522,-1.31612149477785,0.188133267553599,0.379805027745464,"MAD1L1"
"ENSG00000002834",13363.172305479,0.737233734248888,0.169303740163719,4.35450353037668,1.33368831462646e-05,0.000180768308863494,"LASP1"
"ENSG00000002919",519.766318979545,-0.617291871538794,0.216945176700929,-2.84538186525236,0.00443582098952882,0.0247651112310766,"SNX11"
"ENSG00000003056",2797.90371243193,-0.170274995533314,0.248645834877826,-0.684809361946403,0.493464226919918,0.688440062334782,"M6PR"
"ENSG00000003096",711.774142399784,1.67184849431116,0.314383991148678,5.31785504790706,1.04997661058852e-07,2.31556005724682e-06,"KLHL13"
"ENSG00000003147",73.4475055846432,-0.073989794508754,0.387283462318343,-0.191048164220178,0.848487858461682,0.923484616597794,"ICA1"
"ENSG00000003249",738.909994835378,0.269494380168745,0.212199059734285,1.2700074190065,0.20408198745501,0.400308878360441,"DBNDD1"
"ENSG00000003393",1871.1733098336,-0.0266375765294665,0.168717026933187,-0.157883155089114,0.874548871866729,0.937314644222433,"ALS2"
"ENSG00000003400",347.349092181849,0.255939017675986,0.221318747355175,1.15642719261036,0.247506464239519,0.453607139208806,"CASP10"
"ENSG00000003402",1215.86163759349,0.25803663551662,0.182151621708457,1.41660355859812,0.156598867523963,0.338132367955804,"CFLAR"
"ENSG00000003436",341.276229787523,-0.181662582883808,0.219002743850891,-0.82949911809093,0.406822035622375,0.615570272121242,"TFPI"
"ENSG00000003509",787.158923770414,-0.413069141459454,0.167517244866425,-2.46583055845282,0.0136695980655157,0.0599081346420961,"NDUFAF7"
"ENSG00000003756",1722.92288780088,-0.00708491822013352,0.150551955420062,-0.0470596227087557,0.962465708072287,0.98085557786161,"RBM5"
"ENSG00000003987",28.7057377033239,-0.675494493532065,0.464251083288325,-1.45501974652916,0.145663794883788,0.322695181006569,"MTMR7"
"ENSG00000003989",881.077086268316,-0.368518129387778,0.27342248299835,-1.34779746473885,0.177723533573014,0.366483807854765,"SLC7A2"
"ENSG00000004059",3102.64775297369,0.37281500419464,0.191432166385178,1.94750449328618,0.0514742815889778,0.158564355478721,"ARF5"
"ENSG00000004139",165.610143038687,-0.229174065688063,0.480121466465863,-0.477325180594395,0.633130582880825,0.793882219833482,"SARM1"
"ENSG00000004142",3706.17166503694,0.0640787156603009,0.16412459408652,0.390427260563527,0.696220633141661,0.836554997852175,"POLDIP2"
"ENSG00000004399",7611.74865050902,0.0394322968648041,0.195758646012726,0.201433232544123,0.840359831912324,0.918893046683544,"PLXND1"
"ENSG00000004455",5283.38340004959,0.296546169181041,0.195521244228323,1.51669538699715,0.129343609524026,0.298877735845152,"AK2"
"ENSG00000004478",5670.9316603435,0.672618412947483,0.157013512326547,4.28382502232427,1.83707408018991e-05,0.000240060721991882,"FKBP4"
"ENSG00000004487",5692.20205261667,-0.0845275799891334,0.190195016846738,-0.444425839280779,0.656734735318388,0.810077845639512,"KDM1A"
"ENSG00000004534",1561.92579221397,-0.381361618656008,0.146663851630705,-2.60024276204244,0.00931578326963296,0.0443664476875646,"RBM6"
"ENSG00000004660",328.83938442571,-0.549473160826132,0.242582168804522,-2.26510119657191,0.0235064702265261,0.0896839214375105,"CAMKK1"
"ENSG00000004700",1314.21798080887,-0.152237914217981,0.26706907191054,-0.570031988836865,0.568656001905788,0.747952601168278,"RECQL"
"ENSG00000004766",1198.991382278,0.0739088131699697,0.203502409266626,0.3631839713167,0.716467460387407,0.848651172135332,"VPS50"
"ENSG00000004777",873.104322641327,0.785550117106456,0.231061720277723,3.39974148968626,0.000674495894133569,0.00535015559938755,"ARHGAP33"
"ENSG00000004779",3400.67673302676,-0.930549262774047,0.156494256839441,-5.94621989054056,2.74405473556815e-09,8.54938798402097e-08,"NDUFAB1"
