logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_NITROGEN_METABOLISM	0.489650986523708	0.0525258476570887	4.14225258171622	0.00027252888869931	0.0152505155747249	0.4335740919516
KEGG_TRYPTOPHAN_METABOLISM	0.467789428982598	-0.00953398762933821	4.04201128881023	0.000358117178883812	0.0152505155747249	0.193835012554985
KEGG_DNA_REPLICATION	-0.491784122051499	-0.0925386133796564	-3.95368521938038	0.000455080186155381	0.0152505155747249	-0.0164258166068381
KEGG_PROPANOATE_METABOLISM	0.47041148923409	-0.0409774397297574	3.91583876564054	0.0005041222782883	0.0152505155747249	-0.106205343837805
KEGG_LYSOSOME	0.476842263037892	-0.0681809485272354	3.88523772079651	0.000547531121243139	0.0152505155747249	-0.178649224123369
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.525352761345672	-0.0975988987648989	3.87824995074542	0.000557945691758229	0.0152505155747249	-0.195172641365851
KEGG_CELL_CYCLE	-0.391344008639446	-0.0540977765644771	-3.61183184999224	0.00113753171420173	0.0266507430184406	-0.819102752764158
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.416181757598366	-0.00436360070693051	3.37630129449712	0.00211083419581759	0.0432721010142607	-1.35881189825784
KEGG_HISTIDINE_METABOLISM	0.367083772847861	-0.00323098087331998	3.15124461912319	0.00376359683665279	0.0685810979123398	-1.8613401042782
KEGG_PYRUVATE_METABOLISM	0.411508745028879	-0.0660635250811948	3.08754851628776	0.00442170426130842	0.0707726089266656	-2.0008528161876
KEGG_PYRIMIDINE_METABOLISM	-0.33564227908685	-0.0554441816052527	-3.05934349280385	0.0047469432816666	0.0707726089266656	-2.062214160256
KEGG_FATTY_ACID_METABOLISM	0.398833010152704	-0.0387926486085242	2.92095022311212	0.00670043324240055	0.0887385054753132	-2.35937624094233
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.357042690346528	0.0580171273944516	2.87985680499081	0.00741360324637529	0.0887385054753132	-2.44629478919975
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.34545452140926	-0.0530678301200244	-2.82646592970883	0.00844747513027896	0.0887385054753132	-2.55827213880593
KEGG_BETA_ALANINE_METABOLISM	0.326067954201923	-0.0663330694161248	2.81766199839814	0.00863047385018169	0.0887385054753132	-2.57663093470851
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.364093958462868	-0.0366705255670535	-2.81638072192092	0.00865741516832324	0.0887385054753132	-2.5793002418825
KEGG_ARACHIDONIC_ACID_METABOLISM	0.332203567599637	0.0239120473959589	2.77232546161398	0.00963330934266809	0.0929331018939745	-2.67068519946992
KEGG_PEROXISOME	0.347142631068729	-0.0365178203990948	2.6998033459173	0.0114674137684893	0.101625520744009	-2.81939875751641
KEGG_SMALL_CELL_LUNG_CANCER	-0.303650600868867	-0.0690292822779887	-2.68876349181542	0.011773688378879	0.101625520744009	-2.8418440425492
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.374750693418725	-0.0483954262655824	2.61091258007612	0.0141597223248076	0.116109723063422	-2.99862621455962
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.319512735797407	0.0848098750171766	2.5752090427858	0.015397893676915	0.120079692328573	-3.06962863768027
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.295539157553358	-0.0155608540585352	2.55590874595335	0.0161082514099305	0.120079692328573	-3.10776842871342
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.316820092998246	-0.0314363325536074	2.497392784074	0.0184512498360291	0.131565433613425	-3.2223415081215
KEGG_BUTANOATE_METABOLISM	0.333894167470101	-0.0274863312902142	2.47053830537056	0.0196283067673717	0.134126762910373	-3.27437653040947
KEGG_P53_SIGNALING_PATHWAY	-0.278733989382146	-0.0748605721592381	-2.45007121004016	0.0205713084823401	0.134947783644151	-3.31379978819836
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.29591031720564	0.0742765591888088	2.41486114470683	0.0222913276881801	0.137239726994641	-3.38113724582536
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.360164520059742	-0.0150788978822099	2.40231826337542	0.0229351752208849	0.137239726994641	-3.40497530422723
KEGG_SPHINGOLIPID_METABOLISM	0.289262694672188	-0.0213656801710044	2.39287323333074	0.023431172901524	0.137239726994641	-3.42287341447852
KEGG_HOMOLOGOUS_RECOMBINATION	-0.312900521959325	-0.0502520661303859	-2.36817579671936	0.0247747656714001	0.14010557138309	-3.46945988427601
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.301484081688189	0.084099461156594	2.32879847727315	0.0270627098277764	0.147942813725178	-3.54308618032957
KEGG_LYSINE_DEGRADATION	0.250235895773941	-0.0643170883251213	2.20909740766529	0.0352423780472779	0.186443548379147	-3.76182666316022
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.277358190506314	0.0612622634176784	2.11335950481716	0.0433150118485414	0.214922299460831	-3.9310396222598
KEGG_AXON_GUIDANCE	0.232994724543752	-0.0409810870667054	2.105375564406	0.0440573898837845	0.214922299460831	-3.94491199788852
KEGG_ETHER_LIPID_METABOLISM	0.233549203853135	0.0105995418070499	2.10006883487025	0.044557062083343	0.214922299460831	-3.95411192120955
KEGG_ASTHMA	0.246069541233034	0.029918678610984	2.0401633537383	0.0505559974634183	0.236890959542874	-4.05680604287096
KEGG_TASTE_TRANSDUCTION	-0.249800978459119	0.119938778877124	-2.01862640014469	0.0528807613062192	0.240901245950554	-4.09319832117806
KEGG_GLYCEROLIPID_METABOLISM	0.242845962472831	-0.0134133508319243	1.99197673893237	0.0558871319251284	0.2440934951635	-4.13783700053378
KEGG_TYROSINE_METABOLISM	0.224954313616906	-0.0176649713373497	1.98619985646172	0.0565582488793475	0.2440934951635	-4.14745561605708
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.262883020390265	0.0309918065528331	1.96612983069129	0.0589449873631978	0.247871228911909	-4.18071134824942
KEGG_RNA_POLYMERASE	-0.243258165780864	-0.0600001049737207	-1.91779258864693	0.0650572818764102	0.266734855693282	-4.2597664940931
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.221534735683708	-0.0575136235179331	-1.90514680143695	0.0667444774074084	0.266977909629634	-4.28020341241475
KEGG_GLUTATHIONE_METABOLISM	0.206462518317932	-0.029376465575506	1.8136841065328	0.080112414884579	0.312819905739785	-4.42492371345728
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.200974207612877	-0.030708894297318	1.78594083011522	0.0845955799079175	0.3187915552806	-4.46772762209298
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.255918621489479	0.121244563939036	1.77088778792032	0.087116263032396	0.3187915552806	-4.49073533943896
KEGG_RNA_DEGRADATION	-0.225755766765422	-0.0621865667128839	-1.76878569569197	0.0874732926074817	0.3187915552806	-4.49393604965653
KEGG_SPLICEOSOME	-0.225034626336148	-0.0710593337784614	-1.75185487174892	0.0903944427651519	0.322275839423585	-4.51960577513904
KEGG_REGULATION_OF_AUTOPHAGY	0.219328482286833	0.00808586360973966	1.71199028299831	0.0975999048944582	0.339255553347576	-4.57927015416896
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.230820633604837	-0.0465182119121986	-1.70126434720571	0.0996191462873642	0.339255553347576	-4.59513569987491
KEGG_BLADDER_CANCER	-0.199094390471121	-0.0571666106038441	-1.69214743791456	0.101362939719702	0.339255553347576	-4.60855815836339
KEGG_LINOLEIC_ACID_METABOLISM	0.221230624600124	0.0519725510779624	1.67600045196364	0.104514139984993	0.342806379150777	-4.63218788766885
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.239705367446736	0.0772577442768374	1.65659821454434	0.10840849134951	0.348607697672933	-4.66033856029612
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.187623672753206	0.0082316381931275	1.62481956515767	0.115047559915599	0.357626800652364	-4.70586875130063
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.210356284946933	0.0219443261553639	1.62021549837369	0.116036787928181	0.357626800652364	-4.71240526079255
